time,training_score,logical_score,verbal_score,avg_literacy,location_age,distance,similar_language,is_male,emp_id,turnover
1,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
2,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
3,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
4,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
5,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
6,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
7,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
8,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
9,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
10,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
11,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
12,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
13,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
14,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
15,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
16,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
17,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
18,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
19,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
20,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
21,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
22,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
23,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
24,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
25,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
26,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
27,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
28,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
29,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
30,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
31,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
32,4.840446,5,2,81.05207,6,1.635494,24.11053,1,1,Stayed
